EmployeeID,First_Name,Surname,StreetAddress,Age,Office,Office_Type,Notes,Start_Date,Termination_Date,Active_Status_corrige
100021,Carmen,Stewart,3367 Ryder Avenue,47,NYC,Corporate,Changes for 2021.06:  ,2009-10-26,2100-12-12,1
100022,Thelma,Buckley,2054 Bicetown Road,24,NYC,Corporate,Changes for 2021.06:  ,2009-10-26,2013-09-17,0
100023,Jeffrey,Hagans,3307 Hershell Hollow Road,52,NYC,Corporate,Changes for 2021.06:  ,2009-10-26,2014-06-06,0
100024,Jessica,Hall,2010 Collins Avenue,49,NYC,Corporate,Changes for 2021.06:  ,2009-10-26,2100-12-12,1
100025,Cindy,Mcdonnell,818 Broadcast Drive,43,NYC,Corporate,Changes for 2021.06:  ,2009-11-02,2012-07-10,0
100026,Heike,Aguilar,622 Ingram Street,29,NYC,Corporate,Changes for 2021.06:  ,2009-11-02,2010-03-09,0
100027,Jennifer,Vanderpool,4560 Southern Avenue,32,NYC,Corporate,Changes for 2021.06:  ,2009-11-16,2011-05-03,0
100028,Deidre,Goss,3685 Nickel Road,53,NYC,Corporate,Changes for 2021.06:  ,2009-11-23,2014-05-13,0
100029,Calvin,Wright,4658 Water Street,33,NYC,Corporate,Changes for 2021.06:  ,2009-11-30,2014-06-27,0
100030,Eric,Edmundson,1649 Essex Court,28,NYC,Corporate,Changes for 2021.06:  ,2009-11-30,2014-06-27,0
100031,Henry,Williams,1260 Lang Avenue,46,NYC,Corporate,Changes for 2021.06:  ,2009-12-21,2100-12-12,1
100032,Juliana,Green,350 Andell Road,40,NYC,Corporate,Changes for 2021.06:  ,2009-12-21,2013-05-31,0
100033,Fannie,Smith,1829 Burnside Court,45,NYC,Corporate,Changes for 2021.06:  Termed,2009-12-21,2022-02-27,0
100034,Jeffery,Britton,1473 University Street,39,NYC,Corporate,Changes for 2021.06:  ,2009-12-28,2014-03-17,0
100035,Sharon,Taylor,4017 Mount Street,39,NYC,Corporate,Changes for 2021.06:  ,2009-12-28,2012-12-25,0
100036,Joellen,Deleon,4719 Edgewood Avenue,35,NYC,Corporate,Changes for 2021.06:  ,2010-01-04,2021-10-28,0
100037,Sara,Richards,1227 Columbia Mine Road,54,NYC,Corporate,Changes for 2021.06:  ,2010-01-04,2010-03-02,0
100038,Margaret,Sargent,1570 Beechwood Avenue,38,NYC,Corporate,Changes for 2021.06:  ,2010-01-04,2100-12-12,1
100039,Cassandra,James,733 Kimberly Way,53,NYC,Corporate,Changes for 2021.06:  ,2010-01-04,2100-12-12,1
100040,Marie,Montgomery,211 Arrowood Drive,53,NYC,Corporate,Changes for 2021.06:  ,2010-01-11,2100-12-12,1
100041,Terri,Boone,1553 Wildwood Street,50,NYC,Corporate,Changes for 2021.06:  ,2010-01-11,2100-12-12,1
100042,Michael,Green,4617 Worley Avenue,44,NYC,Corporate,Changes for 2021.06:  ,2010-01-11,2010-09-15,0
100043,Ray,Alvey,1586 Shadowmar Drive,30,NYC,Corporate,Changes for 2021.06:  ,2010-01-25,2011-08-08,0
100044,Gerald,Hansen,408 Traders Alley,31,NYC,Corporate,Changes for 2021.06:  ,2010-01-25,2012-01-10,0
100045,Lloyd,Bedwell,1052 Dovetail Drive,39,NYC,Corporate,Changes for 2021.06:  ,2010-01-25,2018-11-16,0
100046,Gloria,Walser,960 Burnside Avenue,38,NYC,Corporate,Changes for 2021.06:  ,2010-01-25,2020-01-18,0
100047,Mayra,Gutierrez,1066 Beech Street,36,NYC,Corporate,Changes for 2021.06:  ,2010-01-25,2010-07-29,0
100048,Nicholas,Sauer,3966 Nancy Street,24,NYC,Corporate,Changes for 2021.06:  ,2010-01-25,2100-12-12,1
100049,Maria,Johnson,2728 Trails End Road,46,Boulder,Technology,Changes for 2021.06:  ,2010-01-25,2010-10-21,0
100050,Antonio,Warford,841 Maple Avenue,45,Boulder,Technology,Changes for 2021.06:  ,2010-02-01,2014-05-14,0
100051,Bradley,Carter,2781 Wilson Street,27,NYC,Corporate,Changes for 2021.06:  Termed,2010-02-08,2021-06-16,0
100052,Robin,Lee,3921 White Lane,35,NYC,Corporate,Changes for 2021.06:  ,2010-02-08,2013-08-22,0
100053,James,Baker,3635 Sunny Day Drive,53,NYC,Corporate,Changes for 2021.06:  ,2010-02-15,2100-12-12,1
100054,Jeremy,Somerville,1574 Garfield Road,37,Boulder,Technology,Changes for 2021.06:  ,2010-02-15,2014-04-24,0
100055,Sander,Klokk,Snekkerfaret 216,39,Oslo,Technology,Changes for 2021.06:  ,2010-02-22,2019-08-19,0
100056,Rochelle,Ahlstrom,2864 Brown Street,34,Boulder,Technology,Changes for 2021.06:  ,2010-03-08,2011-07-15,0
100057,William,Buckley,3517 Radio Park Drive,28,NYC,Corporate,Changes for 2021.06:  ,2010-03-15,2012-04-12,0
100058,Lynn,Brown,4922 Robinson Court,41,NYC,Corporate,Changes for 2021.06:  ,2010-03-15,2019-12-26,0
100059,Jean,Moran,3698 Lochmere Lane,44,NYC,Corporate,Changes for 2021.06:  ,2010-03-15,2014-07-17,0
100060,Jose,Garcia,2690 Waldeck Street,43,Boulder,Technology,Changes for 2021.06:  ,2010-03-15,2013-10-07,0
100061,Carol,Romero,4169 Rhapsody Street,45,Boulder,Technology,Changes for 2021.06:  ,2010-03-15,2014-05-09,0
100062,Logan,Ryan,932 Maxwell Farm Road,29,Boulder,Technology,Changes for 2021.06:  ,2010-03-15,2013-12-20,0
100063,Marius,Andersen,Bnntjernveien 186,28,Oslo,Technology,Changes for 2021.06:  Termed,2010-03-15,2022-08-16,0
100064,Randy,Parker,1570 Cimmaron Road,46,NYC,Corporate,Changes for 2021.06:  ,2010-03-22,2011-10-28,0
100065,Robert,Vaughan,967 Wines Lane,52,Boulder,Technology,Changes for 2021.06:  ,2010-03-22,2014-03-19,0
100066,Luis,Elwell,4395 Granville Lane,38,NYC,Corporate,Changes for 2021.06:  ,2010-04-05,2013-10-25,0
100067,Timothy,Fisher,3277 Carolyns Circle,39,NYC,Corporate,Changes for 2021.06:  ,2010-04-05,2012-05-16,0
100068,Charles,Abbott,1443 Martha Street,34,NYC,Corporate,Changes for 2021.06:  ,2010-04-05,2011-03-25,0
100069,Michael,Lima,2484 Lincoln Street,28,NYC,Corporate,Changes for 2021.06:  ,2010-04-05,2011-06-15,0
100070,Jessie,Vaughn,4415 Aspen Court,32,NYC,Corporate,Changes for 2021.06:  ,2010-04-12,2010-12-27,0
100071,Angela,Mullis,3588 Concord Street,50,NYC,Corporate,Changes for 2021.06:  ,2010-04-12,2010-09-14,0
100072,Thomas,Klein,488 Memory Lane,32,NYC,Corporate,Changes for 2021.06:  ,2010-04-12,2012-10-25,0
100073,Jim,Cowles,4400 Daffodil Lane,52,Boulder,Technology,Changes for 2021.06:  ,2010-04-19,2012-02-03,0
100074,William,Flood,2251 Michigan Avenue,34,NYC,Corporate,Changes for 2021.06:  ,2010-04-26,2100-12-12,1
100075,Michael,Mattie,2393 Davis Court,32,NYC,Corporate,Changes for 2021.06:  ,2010-04-26,2019-08-21,0
100076,Deanna,James,3434 Elmwood Avenue,30,Boulder,Technology,Changes for 2021.06:  ,2010-04-26,2014-05-12,0
100077,Nadia,Anderson,2200 Roosevelt Road,26,NYC,Corporate,Changes for 2021.06:  ,2010-05-03,2012-05-18,0
100078,Joseph,Isley,4323 Bartlett Avenue,36,Boulder,Technology,Changes for 2021.06:  ,2010-05-03,2013-11-28,0
100079,Patricia,Nightingale,1358 Thorn Street,40,Boulder,Technology,Changes for 2021.06:  ,2010-05-10,2100-12-12,1
100080,James,Minton,3901 Airplane Avenue,28,NYC,Corporate,Changes for 2021.06:  ,2010-05-17,2100-12-12,1
100081,Anthony,Mahan,845 Stratford Park,33,NYC,Corporate,Changes for 2021.06:  ,2010-05-17,2011-12-23,0
100082,Danielle,Bowler,1399 Goosetown Drive,40,NYC,Corporate,Changes for 2021.06:  Termed,2010-05-24,2023-01-04,0
100083,Marvel,Wolverton,1921 Rainbow Road,50,NYC,Corporate,Changes for 2021.06:  ,2010-05-24,2010-09-02,0
100084,John,Bertrand,290 Brooke Street,35,Boulder,Technology,Changes for 2021.06:  ,2010-05-24,2011-01-14,0
100085,Robert,Harper,709 Twin House Lane,25,Boulder,Technology,Changes for 2021.06:  ,2010-05-24,2015-03-03,0
100086,James,Gregory,3932 Laurel Lee,43,Boulder,Technology,Changes for 2021.06:  ,2010-05-24,2019-12-10,0
100087,Melissa,Rodriguez,4442 Bird Street,53,SanJose,Corporate,Changes for 2021.06:  ,2010-05-24,2011-10-12,0
100088,Peggy,Frazier,67 Seneca Drive,31,Boulder,Technology,Changes for 2021.06:  ,2010-05-31,2021-11-16,0
100089,Caron,Adams,1523 Sherwood Circle,27,Boulder,Technology,Changes for 2021.06:  ,2010-05-31,2100-12-12,1
100090,Patricia,Mendoza,3664 Hannah Street,55,Boulder,Technology,Changes for 2021.06:  ,2010-05-31,2100-12-12,1
100091,Maria,Singleton,2926 Kessla Way,38,Boulder,Technology,Changes for 2021.06:  ,2010-05-31,2012-02-10,0
100092,William,Ham,1085 Rainbow Road,55,Boulder,Technology,Changes for 2021.06:  ,2010-05-31,2014-11-03,0
100093,Byron,Rauch,4759 Adamsville Road,54,NYC,Corporate,Changes for 2021.06:  ,2010-06-07,2011-05-13,0
100094,Lynda,Brooks,372 Clifford Street,50,NYC,Corporate,Changes for 2021.06:  ,2010-06-07,2012-07-20,0
100095,Bobbie,Huskins,4543 Charles Street,57,Boulder,Technology,Changes for 2021.06:  ,2010-06-07,2100-12-12,1
100096,Barbara,Brooks,722 Reppert Coal Road,44,Boulder,Technology,Changes for 2021.06:  ,2010-06-07,2011-01-11,0
100097,Hilda,Johnson,858 Badger Pond Lane,35,NYC,Corporate,Changes for 2021.06:  ,2010-06-14,2014-10-20,0
100098,Brad,Anderson,3427 Mount Street,52,Boulder,Technology,Changes for 2021.06:  ,2010-06-21,2020-07-28,0
100099,John,Santiago,4867 Ingram Road,61,Boulder,Technology,Changes for 2021.06:  ,2010-06-21,2100-12-12,1
100100,Rita,Freeman,4872 Kelly Drive,26,Boulder,Technology,Changes for 2021.06:  ,2010-06-21,2011-05-10,0
100101,Jonathan,Diaz,1700 Elsie Drive,55,NYC,Corporate,Changes for 2021.06:  ,2010-06-28,2013-02-25,0
100102,Nicki,Watts,1855 Trainer Avenue,52,NYC,Corporate,Changes for 2021.06:  ,2010-06-28,2015-03-23,0
100103,Antoinette,Haugland,3899 Geraldine Lane,62,Boulder,Technology,Changes for 2021.06:  ,2010-06-28,2100-12-12,1
100104,Hugo,Miller,3347 Modoc Alley,57,Boulder,Technology,Changes for 2021.06:  ,2010-06-28,2010-09-02,0
100105,Walter,Davis,3328 Preston Street,26,Boulder,Technology,Changes for 2021.06:  ,2010-06-28,2011-11-21,0
100106,Anna,Grande,Bugrden 57,60,Oslo,Technology,Changes for 2021.06:  ,2010-06-28,2100-12-12,1
100107,James,Johnson,2398 Jett Lane,26,NYC,Corporate,Changes for 2021.06:  ,2010-07-05,2012-10-18,0
100108,Jeremy,Miller,4500 Harry Place,45,NYC,Corporate,Changes for 2021.06:  Termed,2010-07-05,2022-02-12,0
100109,Emerald,Vega,2588 Southern Street,50,NYC,Corporate,Changes for 2021.06:  ,2010-07-12,2100-12-12,1
100110,Betty,Phelps,2262 Neuport Lane,31,Boulder,Technology,Changes for 2021.06:  ,2010-07-12,2020-02-29,0
100111,Agnes,Metz,3796 Arrowood Drive,34,Boulder,Technology,Changes for 2021.06:  ,2010-07-12,2014-06-27,0
100112,Ashley,Port,1964 Oak Street,27,NYC,Corporate,Changes for 2021.06:  ,2010-07-19,2100-12-12,1
100113,Robert,Sisneros,4284 Peck Court,58,Boulder,Technology,Changes for 2021.06:  ,2010-07-19,2100-12-12,1
100114,Emilie,Meland,Gjerlwsveien 224,43,Oslo,Technology,Changes for 2021.06:  ,2010-07-19,2100-12-12,1
100115,Heath,Roland,2708 Masonic Hill Road,60,NYC,Corporate,Changes for 2021.06:  ,2010-07-26,2010-12-30,0
100116,Eleanor,Cook,4621 Gladwell Street,51,NYC,Corporate,Changes for 2021.06:  ,2010-07-26,2100-12-12,1
100117,Gwendolyn,Bateman,28 Turnpike Drive,66,NYC,Corporate,Changes for 2021.06:  ,2010-07-26,2020-02-20,0
100118,Sally,Johnston,3024 Ben Street,45,NYC,Corporate,Changes for 2021.06:  ,2010-07-26,2013-11-12,0
100119,Timothy,Alarcon,2118 Glen Street,37,NYC,Corporate,Changes for 2021.06:  Termed,2010-07-26,2021-05-22,0
100120,Barbara,Thomas,3826 Havanna Street,44,Boulder,Technology,Changes for 2021.06:  ,2010-07-26,2013-03-20,0
100121,Robert,Copeland,4849 Mudlick Road,62,Boulder,Technology,Changes for 2021.06:  ,2010-07-26,2020-02-23,0
100122,Hyman,Northrop,2802 Snider Street,52,Boulder,Technology,Changes for 2021.06:  ,2010-07-26,2011-10-26,0
100123,Elizabeth,Carr,4662 Mount Street,63,NYC,Corporate,Changes for 2021.06:  ,2010-08-02,2013-07-18,0
100124,Naomi,Bedard,987 Crummit Lane,68,NYC,Corporate,Changes for 2021.06:  ,2010-08-09,2015-01-19,0
100125,Carlos,Golden,418 Lake Forest Drive,43,Boulder,Technology,Changes for 2021.06:  ,2010-08-09,2100-12-12,1
100126,Levi,Hernandez,4785 Par Drive,32,Boulder,Technology,Changes for 2021.06:  ,2010-08-09,2013-07-08,0
100127,Amina,Amundsen,Krokveien 223,48,Oslo,Technology,Changes for 2021.06:  ,2010-08-09,2100-12-12,1
100128,Ruth,Chong,2391 McDonald Avenue,46,NYC,Corporate,Changes for 2021.06:  ,2010-08-16,2100-12-12,1
100129,Kathleen,Boren,1320 Bailey Drive,43,Boulder,Technology,Changes for 2021.06:  ,2010-08-16,2012-08-21,0
100130,Andrew,Nelson,1147 Hoffman Avenue,43,Boulder,Technology,Changes for 2021.06:  ,2010-08-16,2011-04-15,0
100131,David,Moore,4710 Neuport Lane,47,Boulder,Technology,Changes for 2021.06:  ,2010-08-16,2100-12-12,1
100132,Wendell,Hutchison,3770 Marion Drive,66,NYC,Corporate,Changes for 2021.06:  ,2010-08-23,2100-12-12,1
100133,Ashley,Orr,4215 Devils Hill Road,45,NYC,Corporate,Changes for 2021.06:  ,2010-08-23,2014-08-04,0
100134,George,Hardy,2073 Badger Pond Lane,57,Boulder,Technology,Changes for 2021.06:  ,2010-08-23,2100-12-12,1
100135,Margaret,Galloway,3978 Fieldcrest Road,51,Boulder,Technology,Changes for 2021.06:  ,2010-08-23,2013-05-14,0
100136,Samuel,Bakken,Kjrbokollen 126,48,Oslo,Technology,Changes for 2021.06:  ,2010-08-23,2020-11-19,0
100137,Stephanie,Dixon,4912 Andell Road,43,NYC,Corporate,Changes for 2021.06:  ,2010-08-30,2100-12-12,1
100138,Rita,Martinez,4617 Mill Street,58,Boulder,Technology,Changes for 2021.06:  ,2010-08-30,2100-12-12,1
100139,Erica,Loos,4328 Grant Street,42,NYC,Corporate,Changes for 2021.06:  ,2010-09-06,2013-05-28,0
100140,Jennie,Corkery,3765 Turnpike Drive,42,NYC,Corporate,Changes for 2021.06:  ,2010-09-06,2020-02-01,0
100141,Ernest,Williams,3868 Melville Street,40,NYC,Corporate,Changes for 2021.06:  ,2010-09-06,2014-10-27,0
100142,Joe,Mendoza,949 Bobcat Drive,36,NYC,Corporate,Changes for 2021.06:  ,2010-09-06,2012-11-29,0
100143,Raymond,Snell,357 University Street,41,Boulder,Technology,Changes for 2021.06:  ,2010-09-06,2012-10-31,0
100144,Karen,Walker,364 Twin Oaks Drive,36,Boulder,Technology,Changes for 2021.06:  ,2010-09-06,2012-04-16,0
100145,Victor,Eidissen,Gravarstunet 19,23,Oslo,Technology,Changes for 2021.06:  Termed,2010-09-06,2021-02-12,0
100146,Marie,Gano,834 Terra Cotta Street,40,Boulder,Technology,Changes for 2021.06:  ,2010-09-13,2013-04-25,0
100147,Sharon,Castaldo,390 Joes Road,26,Boulder,Technology,Changes for 2021.06:  ,2010-09-13,2011-06-02,0
100148,Victoria,Grace,213 Haul Road,32,Boulder,Technology,Changes for 2021.06:  ,2010-09-13,2010-11-19,0
100149,Tomine,Tren,Myrfaret 166,45,Oslo,Technology,Changes for 2021.06:  ,2010-09-13,2100-12-12,1
100150,Nora,Valseth,Vestersvegen 103,33,Oslo,Technology,Changes for 2021.06:  ,2010-09-13,2020-03-14,0
100151,Diana,Durbin,3327 Atha Drive,33,SanJose,Corporate,Changes for 2021.06:  ,2010-09-13,2013-03-22,0
100152,Michael,Navarra,1865 White River Way,39,NYC,Corporate,Changes for 2021.06:  ,2010-09-20,2100-12-12,1
100153,Francis,Mathews,3545 Wright Court,55,Boulder,Technology,Changes for 2021.06:  ,2010-09-20,2011-01-18,0
100154,Jennifer,Godwin,1637 Payne Street,27,Boulder,Technology,Changes for 2021.06:  Termed,2010-09-20,2022-03-08,0
100155,Elias,Gjerstad,Henrik Gerners gate 115,33,Oslo,Technology,Changes for 2021.06:  ,2010-09-20,2100-12-12,1
100156,Cynthia,Ector,212 Gorby Lane,52,Boulder,Technology,Changes for 2021.06:  ,2010-10-04,2011-03-08,0
100157,Bill,Morgan,4379 Monroe Avenue,33,Boulder,Technology,Changes for 2021.06:  ,2010-10-04,2100-12-12,1
100158,Kenneth,Talley,549 Tori Lane,51,NYC,Corporate,Changes for 2021.06:  ,2010-10-11,2012-03-30,0
100159,Corey,Boatright,3727 Plainfield Avenue,33,Boulder,Technology,Changes for 2021.06:  ,2010-10-11,2015-06-29,0
100160,Vincent,Beasley,699 Owen Lane,46,Boulder,Technology,Changes for 2021.06:  ,2010-10-11,2014-06-17,0
100161,Michael,Bell,312 Pinnickinnick Street,39,NYC,Corporate,Changes for 2021.06:  ,2010-10-18,2011-12-30,0
100162,Geraldine,Hernandez,124 Zimmerman Lane,48,NYC,Corporate,Changes for 2021.06:  ,2010-10-18,2100-12-12,1
100163,Lavon,Daniels,3396 Sigley Road,62,Boulder,Technology,Changes for 2021.06:  ,2010-10-18,2013-11-13,0
100164,Deborah,Rhodes,4164 Ingram Street,41,NYC,Corporate,Changes for 2021.06:  ,2010-10-25,2014-11-18,0
100165,Juan,Page,1681 Tail Ends Road,39,NYC,Corporate,Changes for 2021.06:  ,2010-10-25,2013-01-04,0
100166,John,Norvell,3406 Stanley Avenue,32,NYC,Corporate,Changes for 2021.06:  ,2010-11-01,2011-10-03,0
100167,Jaime,Clemons,807 Bolman Court,51,NYC,Corporate,Changes for 2021.06:  ,2010-11-15,2012-08-07,0
100168,Robert,Krause,3342 Griffin Street,58,Boulder,Technology,Changes for 2021.06:  ,2010-11-15,2011-09-05,0
100169,Melissa,Bailey,571 Kovar Road,55,Boulder,Technology,Changes for 2021.06:  Termed,2010-11-15,2021-04-11,0
100170,Jonathan,Jensen,939 Mcwhorter Road,57,Boulder,Technology,Changes for 2021.06:  ,2010-11-15,2021-11-27,0
100171,John,Limones,647 Findley Avenue,35,Boulder,Technology,Changes for 2021.06:  ,2010-11-15,2100-12-12,1
100172,Felix,Nash,3917 Simpson Avenue,68,NYC,Corporate,Changes for 2021.06:  ,2010-11-22,2100-12-12,1
100173,William,Kelley,2125 Seth Street,38,NYC,Corporate,Changes for 2021.06:  ,2010-11-22,2015-05-27,0
100174,William,Reinhardt,4225 Winifred Way,51,NYC,Corporate,Changes for 2021.06:  ,2010-11-22,2020-07-03,0
100175,Louise,Finn,984 Poe Lane,44,NYC,Corporate,Changes for 2021.06:  ,2010-11-22,2012-07-04,0
100176,Julian,Edwards,3474 Quilly Lane,32,Boulder,Technology,Changes for 2021.06:  ,2010-11-22,2014-11-25,0
100177,Eugene,Dawson,772 College Avenue,28,Boulder,Technology,Changes for 2021.06:  ,2010-11-22,2100-12-12,1
100178,Christoffer,Johnsen,Stverveien 112,51,Oslo,Technology,Changes for 2021.06:  ,2010-11-22,2014-07-23,0
100179,John,Finley,4358 Saint Marys Avenue,52,NYC,Corporate,Changes for 2021.06:  ,2010-11-29,2013-07-03,0
100180,Cecilia,Square,867 Green Street,53,Boulder,Technology,Changes for 2021.06:  ,2010-11-29,2011-02-03,0
100181,Joseph,Qualls,2357 Better Street,56,NYC,Corporate,Changes for 2021.06:  ,2010-12-06,2100-12-12,1
100182,Nicole,Burt,4629 Rockford Road,26,Boulder,Technology,Changes for 2021.06:  ,2010-12-06,2100-12-12,1
100183,Gaylord,Stone,1352 Lost Creek Road,68,NYC,Corporate,Changes for 2021.06:  Termed,2010-12-13,2022-03-06,0
100184,Marlin,Grajeda,3938 Hamill Avenue,53,NYC,Corporate,Changes for 2021.06:  ,2010-12-13,2011-12-19,0
100185,Jeffrey,Mcpeek,1677 Edsel Road,37,NYC,Corporate,Changes for 2021.06:  ,2010-12-20,2020-08-26,0
100186,John,Archer,1512 Late Avenue,58,NYC,Corporate,Changes for 2021.06:  ,2010-12-20,2012-04-17,0
100187,Jennie,Sylva,3988 Settlers Lane,38,Boulder,Technology,Changes for 2021.06:  ,2010-12-27,2011-01-26,0
100188,Sabrina,Powers,2235 Asylum Avenue,39,Boulder,Technology,Changes for 2021.06:  ,2010-12-27,2015-05-22,0
100189,William,Jernigan,1487 Willis Avenue,29,Boulder,Technology,Changes for 2021.06:  ,2010-12-27,2100-12-12,1
100190,Phyllis,Hollenbeck,1668 Franklin Street,33,Boulder,Technology,Changes for 2021.06:  Termed,2010-12-27,2023-10-28,0
100191,Kathy,Diaz,1700 Rebecca Street,29,Boulder,Technology,Changes for 2021.06:  ,2010-12-27,2100-12-12,1
100192,Jessica,Kelly,3846 Paradise Lane,39,Boulder,Technology,Changes for 2021.06:  ,2010-12-27,2013-06-21,0
100193,Marc,Barnhart,4938 Maud Street,56,Boulder,Technology,Changes for 2021.06:  ,2010-12-27,2019-10-17,0
100194,Bonnie,Gunderson,124 Saint Marys Avenue,53,SanJose,Corporate,Changes for 2021.06:  ,2010-12-27,2100-12-12,1
100195,Inez,Harris,3227 Giraffe Hill Drive,64,NYC,Corporate,Changes for 2021.06:  ,2011-01-03,2012-09-13,0
100196,Marie,Cox,1816 Mahlon Street,47,Boulder,Technology,Changes for 2021.06:  ,2011-01-03,2014-06-19,0
100197,Raymond,Barrera,2623 Chestnut Street,43,Boulder,Technology,Changes for 2021.06:  ,2011-01-03,2012-07-25,0
100198,Bryan,Pearson,2749 Ridge Road,53,NYC,Corporate,Changes for 2021.06:  Termed,2011-01-10,2022-05-10,0
100199,Ina,Montgomery,1638 Hall Place,43,NYC,Corporate,Changes for 2021.06:  ,2011-01-10,2013-06-26,0
100200,Aileen,Pearce,3116 Geraldine Lane,50,Boulder,Technology,Changes for 2021.06:  ,2011-01-10,2013-11-22,0
100201,Stanley,Cantrell,996 Jadewood Farms,47,Boulder,Technology,Changes for 2021.06:  ,2011-01-10,2015-08-18,0
100202,Jack,Rye,2953 Hillview Drive,48,Boulder,Technology,Changes for 2021.06:  ,2011-01-10,2014-01-24,0
100203,Luther,Washington,2841 Copperhead Road,50,Boulder,Technology,Changes for 2021.06:  ,2011-01-10,2100-12-12,1
100204,Stephen,Johnson,4119 Franklee Lane,24,Boulder,Technology,Changes for 2021.06:  ,2011-01-10,2100-12-12,1
100205,Charles,Williams,4189 Gandy Street,32,Boulder,Technology,Changes for 2021.06:  ,2011-01-10,2100-12-12,1
100206,Clara,Vail,4399 Snyder Avenue,39,NYC,Corporate,Changes for 2021.06:  ,2011-01-17,2100-12-12,1
100207,Gregory,Campbell,2245 Alexander Avenue,26,NYC,Corporate,Changes for 2021.06:  ,2011-01-17,2020-08-09,0
100208,Raymond,Thacker,1777 Comfort Court,43,NYC,Corporate,Changes for 2021.06:  ,2011-01-17,2100-12-12,1
100209,Laura,Chen,105 Carolina Avenue,48,NYC,Corporate,Changes for 2021.06:  ,2011-01-17,2015-09-08,0
100210,Renee,Lewis,1051 Hershell Hollow Road,44,NYC,Corporate,Changes for 2021.06:  Termed,2011-01-17,2022-05-05,0
100211,Raguel,Alarcon,696 Reeves Street,59,Boulder,Technology,Changes for 2021.06:  ,2011-01-17,2100-12-12,1
100212,Constance,Cote,2981 Cinnamon Lane,58,Boulder,Technology,Changes for 2021.06:  ,2011-01-17,2100-12-12,1
100213,Kelly,Rodriguez,2733 Blackwell Street,30,NYC,Corporate,Changes for 2021.06:  ,2011-01-24,2100-12-12,1
100214,Maria,Reese,3615 Hog Camp Road,33,SanJose,Corporate,Changes for 2021.06:  ,2011-01-24,2100-12-12,1
100215,Virginia,Holcomb,851 Roguski Road,49,NYC,Corporate,Changes for 2021.06:  ,2011-01-31,2100-12-12,1
100216,John,Castillo,1835 Flanigan Oaks Drive,37,NYC,Corporate,Changes for 2021.06:  ,2011-01-31,2012-03-02,0
100217,Martha,Martinez,619 Dark Hollow Road,49,Boulder,Technology,Changes for 2021.06:  ,2011-01-31,2015-11-03,0
100218,George,Garry,2598 Marshville Road,41,Boulder,Technology,Changes for 2021.06:  ,2011-01-31,2100-12-12,1
100219,Haley,Mosqueda,1177 Dale Avenue,28,Boulder,Technology,Changes for 2021.06:  ,2011-01-31,2100-12-12,1
